Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Predicted Performance Index,Predicted Performance Index (rounded)
6,77,No,6,4,65.13254330222969,65
5,87,Yes,9,2,74.10907923045085,74
9,65,Yes,4,8,61.91113765960872,62
1,94,Yes,9,3,69.98966376343975,70
5,56,Yes,5,2,40.60553471908123,41
1,99,Yes,4,6,73.24184162742247,73
5,62,Yes,7,2,47.68610328189913,48
7,85,No,9,8,78.3870908898057,78
3,82,No,6,2,61.244736768021816,61
5,89,No,7,4,74.97419829637707,75
1,44,Yes,7,3,18.116151781027746,18
3,89,No,8,7,70.3319441787595,70
3,63,Yes,6,8,43.68260113488376,44
1,77,Yes,4,1,49.85675251106003,50
1,42,Yes,8,4,16.764052336977713,17
3,80,No,7,3,59.892637323971776,60
8,88,No,9,2,83.11563658544173,83
2,81,No,6,1,57.168169585903065,57
9,50,Yes,9,9,49.269639307334195,49
5,81,No,6,5,66.54153028950915,67
9,86,Yes,6,9,84.45975132405587,84
9,88,Yes,5,4,85.0209568428536,85
3,76,Yes,5,9,56.62838339645848,57
7,79,Yes,9,4,72.08199918114423,72
1,99,No,7,5,73.90884715342924,74
9,98,No,6,7,95.68663079296536,96
4,40,Yes,6,5,22.535759799244317,23
3,75,Yes,5,8,55.412638473790985,55
9,44,No,5,1,39.04091211460294,39
5,59,No,5,1,42.867944697114076,43
3,76,Yes,5,6,56.03521295251925,56
4,87,Yes,5,1,69.10565366030366,69
5,40,Yes,7,8,26.475972459980518,26
5,70,No,7,4,55.631790910643254,56
9,90,No,5,8,87.25396278609742,87
2,44,Yes,6,4,20.688477564446366,21
6,40,Yes,4,0,26.29634699689003,26
3,64,Yes,9,1,44.77521807908378,45
1,43,Yes,7,4,17.295853820986416,17
4,91,No,9,5,75.31958231563914,75
4,45,No,6,8,27.6251065852383,28
6,95,No,8,7,85.02253960523976,85
7,85,Yes,9,4,78.1901278292707,78
3,72,Yes,8,3,52.8286166151995,53
8,54,No,6,6,47.835141632606884,48
7,75,No,8,6,67.3252095562897,67
1,53,Yes,8,5,28.160011673189317,28
3,95,Yes,4,2,74.10050645565505,74
1,53,Yes,6,2,26.59440131455866,27
9,42,Yes,8,0,38.85973648733549,39
5,89,Yes,6,7,75.67507964768791,76
5,61,No,8,1,46.362647451860035,46
5,74,No,5,3,58.53371328005641,59
4,80,No,5,5,62.17646663135776,62
2,52,Yes,7,8,30.109762977879676,30
9,74,Yes,8,6,72.62276349855512,73
1,90,Yes,5,5,64.36814513126541,64
1,71,No,7,9,46.19514072075801,46
9,58,No,6,4,54.372602694849654,54
8,93,Yes,6,2,87.34101478489396,87
9,52,No,4,5,47.48975761334483,47
9,64,No,6,1,59.88756089903689,60
2,42,No,8,9,20.019561138277048,20
6,59,Yes,4,1,45.83647786393693,46
1,71,Yes,9,6,47.168341056227526,47
5,87,No,9,7,74.50376577229892,75
7,89,No,9,4,81.66828272997103,82
6,52,Yes,6,6,40.67138509571286,41
3,67,Yes,8,6,48.33167985236667,48
5,60,No,9,0,45.63312248653826,46
5,99,No,7,5,85.35213619123428,85
3,66,No,9,7,47.403670984953756,47
1,99,Yes,9,8,76.0683883767772,76
1,99,Yes,9,3,75.07977097021183,75
2,68,No,7,1,44.420110805641436,44
1,59,No,4,8,32.32250007115484,32
5,91,Yes,4,8,76.93640609701839,77
7,54,Yes,4,5,44.39808684186844,44
2,95,No,9,7,74.06547052478044,74
3,56,Yes,7,6,36.64722404012243,37
4,50,Yes,6,7,33.111421175414584,33
6,44,Yes,7,3,32.420263078284044,32
1,65,No,8,2,39.18916766078572,39
5,47,No,4,9,31.74725529402003,32
5,95,No,9,1,81.46159641525577,81
2,80,Yes,5,0,56.060135570607166,56
3,95,Yes,5,1,74.38900293168768,74
7,75,No,8,1,66.33659214972431,66
8,55,Yes,5,9,49.55404442527213,50
3,75,Yes,5,7,55.21491499247791,55
5,53,No,8,8,39.60254029021629,40
5,95,Yes,8,1,81.56930732262734,82
9,84,Yes,8,8,83.19842487472539,83
9,72,No,7,6,69.50656979378329,70
6,55,Yes,6,6,43.72544941977609,44
8,45,No,4,8,38.095955708351916,38
3,42,No,9,3,22.18026246719556,22
8,51,Yes,6,8,45.770455135887126,46
2,72,No,9,1,49.464636485750496,49
8,70,No,8,3,64.50275416502967,65
7,66,Yes,8,7,58.95467093013038,59
9,41,Yes,8,5,38.830332452546465,39
7,51,Yes,8,5,43.28890234718806,43
5,61,No,7,0,45.67870401320125,46
6,76,No,8,2,64.69151481294054,65
1,71,Yes,6,5,45.511957702877304,46
2,63,Yes,9,4,41.48954482221733,41
4,92,No,8,2,75.25821335570862,75
6,82,No,4,6,69.64565755693647,70
6,57,No,9,2,45.835327384552436,46
4,66,No,8,6,49.58054980574622,50
8,55,No,5,1,47.37832571005021,47
9,57,Yes,4,8,53.766966128773426,54
1,42,Yes,8,1,16.170881893038484,16
6,93,No,5,5,81.13238988786765,81
6,55,Yes,9,1,44.195491885247854,44
6,45,Yes,5,3,32.46584460494703,32
7,90,No,8,2,81.80463725135357,82
8,89,Yes,5,8,83.96904995000907,84
7,53,No,9,1,44.42634039727299,44
8,86,Yes,5,9,81.1127091072589,81
5,87,Yes,6,7,73.6390367649791,74
6,44,No,9,8,33.78738953482354,34
1,71,Yes,6,6,45.70968118419038,46
6,92,Yes,9,4,82.45545565930033,82
3,45,Yes,7,4,25.05354122259775,25
3,64,Yes,4,7,43.530459180233656,44
4,48,No,9,4,31.346936856086366,31
6,82,No,6,7,70.81582095294098,71
4,75,No,6,5,57.57257938193141,58
2,92,No,9,0,69.62734183152565,70
9,92,No,5,2,88.10366478092777,88
2,47,No,8,6,24.516497901109872,25
8,88,Yes,5,2,81.76468762077619,82
2,66,No,8,6,43.8589052868437,44
3,58,Yes,6,1,37.208429558920166,37
1,64,No,6,9,38.582770673931414,39
6,60,No,5,2,46.94451187923283,47
8,63,Yes,9,5,58.852201860237976,59
9,63,No,9,3,60.72364629234577,61
3,99,No,9,0,79.6143141804578,80
5,58,Yes,4,5,42.74852808838356,43
8,67,No,6,3,60.47624992627501,60
3,79,Yes,9,5,60.836433624652265,61
6,81,No,9,5,70.86101242099755,71
1,86,No,7,4,60.4768449345088,60
1,52,Yes,9,7,28.023657151806766,28
8,85,Yes,6,3,79.39456673537174,79
6,88,No,6,5,76.5285026384413,77
3,90,Yes,5,6,70.287513131481,70
4,78,No,7,7,61.50831062596652,62
1,47,No,9,0,20.955554711125863,21
4,49,No,8,5,32.07646182140814,32
2,46,No,5,0,20.853475699839855,21
1,92,Yes,6,8,67.48357841525919,67
6,76,Yes,6,4,64.7084527255926,65
4,66,No,4,0,46.44932908848491,46
4,96,Yes,7,7,80.42662743506324,80
2,66,Yes,5,0,41.807835391645405,42
6,81,Yes,8,5,70.96872332836915,71
8,66,No,6,8,60.446845891485985,60
7,42,No,5,7,32.46956560087006,32
8,67,Yes,5,3,60.58396083364661,61
4,69,No,5,7,51.37367773908539,51
8,93,No,9,0,87.81029682958763,88
7,68,No,9,6,60.68527942415454,61
9,52,No,5,9,48.766871495942844,49
1,42,Yes,6,3,15.593888940973208,16
6,41,No,9,8,30.73332521076032,31
8,77,Yes,5,2,70.56645176587764,71
9,71,No,5,7,67.7138319190505,68
4,52,No,9,5,35.616746102817096,36
2,98,No,8,0,75.24925052230643,75
1,67,Yes,8,0,41.4236944455857,41
6,99,No,6,4,87.52901501202675,88
1,96,No,7,1,70.0638889041137,70
1,96,Yes,5,6,70.67399726070497,71
1,87,No,6,6,61.40409338114366,61
1,59,Yes,7,9,34.572814289222386,35
8,52,No,7,1,45.2967013006784,45
3,86,No,4,8,65.53072350662649,66
2,83,Yes,4,5,59.61659734389007,60
1,53,Yes,7,5,27.6737917158436,28
2,91,Yes,7,7,69.61487570938866,70
7,49,No,9,1,40.35425463185533,40
7,64,Yes,6,7,55.946188132730136,56
3,89,Yes,9,2,70.42347759425715,70
8,81,No,5,2,74.04460666657798,74
7,65,No,5,9,56.27950571464766,56
6,75,No,7,7,64.17589082080579,64
5,55,Yes,6,8,41.26007412295099,41
7,87,No,8,6,79.54146685254264,80
5,99,No,6,3,84.4704692712624,84
1,46,No,6,6,19.66521428561277,20
5,90,No,8,2,76.08299273245106,76
4,40,Yes,8,4,23.31047623262267,23
4,74,No,7,3,56.64533093529658,57
8,62,No,9,9,58.03114347941855,58
1,46,Yes,6,4,19.863698187703932,20
2,91,Yes,8,0,68.71703129754283,69
8,75,Yes,7,4,69.8982957604864,70
2,59,No,5,6,35.27409532532567,35
9,63,Yes,8,1,60.435910237091214,60
5,88,No,7,3,73.75845337370959,74
6,78,Yes,5,1,65.66510520701647,66
2,77,No,7,9,55.16409162833575,55
5,76,Yes,6,5,62.04535394745441,62
5,51,Yes,7,1,36.290143945687525,36
9,56,No,4,4,51.36411989744939,51
5,46,No,4,6,30.136063408726393,30
2,77,Yes,6,9,55.271802535707344,55
6,42,No,6,8,30.29268678007758,30
5,70,Yes,9,0,56.40726776479969,56
4,82,Yes,7,4,65.58115681216225,66
6,68,No,6,3,55.77262684872691,56
6,93,No,6,2,81.02543940127413,81
5,81,Yes,4,0,65.17440383296966,65
4,78,No,9,6,62.28302705934487,62
3,93,No,8,4,73.81085950023791,74
4,92,No,4,5,73.90650397026499,74
8,76,Yes,5,4,69.9438772871494,70
7,91,No,9,9,84.69294301924523,85
2,74,No,5,2,49.753523020389544,50
5,48,No,5,5,32.460602767467854,32
3,58,No,7,0,36.90299517023549,37
8,75,No,9,8,71.06769873571284,71
1,46,No,9,8,21.519321120276068,22
8,99,Yes,8,9,95.8056477169034,96
7,51,Yes,4,8,41.93719296174444,42
6,58,Yes,4,2,45.0161799038956,45
7,41,Yes,6,6,32.333971500265584,32
7,69,Yes,6,9,61.43174230212835,61
1,81,No,4,6,54.323524818325744,54
8,44,No,8,0,37.44102624587574,37
2,60,No,8,9,38.34394708265646,38
8,59,Yes,7,9,54.59857010538121,55
7,47,No,5,5,37.164225845015956,37
8,51,No,8,4,45.35807026060893,45
1,60,Yes,4,3,32.94583497066119,33
4,69,Yes,7,6,52.742325037181054,53
6,66,Yes,8,8,56.291572151992206,56
2,65,Yes,9,1,42.93241726098693,43
7,65,Yes,9,6,58.225145964808625,58
3,75,Yes,9,3,56.36890089660846,56
2,79,No,6,3,55.527573665820405,56
2,98,Yes,6,3,75.46391191627151,75
7,89,No,5,1,79.13023245664894,79
1,50,Yes,7,6,24.817450873093442,25
9,41,Yes,8,1,38.03943852729416,38
8,40,Yes,6,7,34.37449579967551,34
9,83,No,9,7,81.87496904468631,82
4,93,Yes,4,0,74.52983886977134,75
2,69,No,8,0,45.726628723028476,46
2,74,No,5,1,49.55579953907647,50
5,97,Yes,7,3,83.51457721061661,84
5,45,No,5,6,29.604261924717697,30
9,82,No,7,3,79.09361376338816,79
9,43,Yes,8,8,41.45954577919452,41
8,84,No,5,8,78.2850118785197,78
4,49,Yes,7,0,31.195555322214354,31
3,84,Yes,4,6,63.69316452600882,64
6,85,No,4,3,72.10655143706049,72
6,60,Yes,6,8,49.211003589174304,49
7,49,No,6,6,39.88421216638357,40
1,95,Yes,8,1,70.1260182848223,70
2,78,Yes,8,4,56.27364648518779,56
1,93,No,6,2,66.72132810401783,67
3,80,No,7,7,60.68353124922408,61
9,43,Yes,9,8,41.94576573654023,42
4,90,No,8,0,72.82672351037365,73
5,91,Yes,7,7,78.19734248774245,78
9,78,Yes,8,3,76.10167882003353,76
3,47,Yes,4,7,26.22409467720867,26
9,67,No,4,4,62.56235575234792,63
8,94,Yes,5,7,88.86143367546802,89
8,73,No,4,9,66.79827954758852,67
2,65,Yes,7,4,42.55314779023474,43
8,76,No,9,3,71.09710277050186,71
8,53,Yes,6,3,46.81788061203056,47
9,56,No,4,3,51.166396416136315,51
7,79,No,9,0,70.69717439117463,71
5,58,No,6,3,42.73159017573153,43
9,76,Yes,8,1,73.67018897469856,74
5,41,No,7,2,25.713722148739173,26
2,49,No,6,3,24.986930425188042,25
6,74,No,8,9,64.03953629942328,64
7,63,No,6,1,53.14789493877996,53
9,56,Yes,5,4,52.44427071951241,52
2,79,No,8,5,56.89546054313798,57
6,41,Yes,4,7,28.69843280743597,29
4,45,No,5,4,26.347992702640276,26
4,60,Yes,8,2,43.275458097084744,43
1,94,Yes,4,7,68.34945790196349,68
1,68,No,6,8,42.45713295803599,42
6,46,No,6,2,33.17843165761676,33
3,72,Yes,9,2,53.11711309123215,53
6,87,No,7,1,75.2058072291803,75
2,92,Yes,5,9,70.05590419867781,70
2,63,Yes,6,7,40.62405539411942,41
4,65,No,4,4,46.222201572382794,46
1,86,No,5,4,59.504405019817376,60
7,99,Yes,8,8,92.74710197613905,93
4,41,No,7,4,23.248346851914057,23
3,60,Yes,8,1,40.216912356320414,40
3,53,No,6,5,32.3152854126831,32
1,81,Yes,6,7,56.08761907904758,56
2,83,Yes,9,1,61.25680320536633,61
8,58,No,6,6,51.90722739802454,52
5,84,Yes,6,8,70.78269592222892,71
2,52,Yes,8,9,30.793706416538477,31
3,61,No,6,6,40.65718042483147,41
3,95,No,6,1,74.28129202431609,74
7,83,Yes,5,6,74.60465207980516,75
1,99,No,9,7,75.27673403074681,75
9,74,Yes,7,9,72.72971398514863,73
1,53,Yes,9,5,28.646231630535034,29
6,52,Yes,7,5,40.95988157174549,41
6,86,No,7,2,74.38550926913896,74
1,53,No,5,0,25.11880352986949,25
2,90,No,8,1,67.30280247278421,67
9,75,Yes,6,7,72.86606850653118,73
6,40,Yes,4,9,28.075858328707717,28
2,92,Yes,7,4,70.03972670680386,70
8,50,Yes,4,5,43.186823335902055,43
3,66,No,8,8,47.11517450892111,47
9,61,Yes,9,9,60.46787516223271,60
9,85,Yes,7,6,83.33477939610793,83
9,88,Yes,8,5,86.6773401962038,87
2,85,Yes,9,1,63.29284608807516,63
8,49,No,5,6,42.25881446848913,42
8,63,Yes,5,0,55.91870462428974,56
4,48,Yes,9,6,32.336314683429826,32
4,56,Yes,5,1,37.54698897831688,38
6,77,No,6,4,65.13254330222969,65
6,79,No,8,3,67.94330261831686,68
6,76,Yes,5,7,64.81540321218611,65
7,45,No,8,4,36.3891193530312,36
9,60,Yes,9,7,59.05440675825215,59
3,75,No,8,1,54.89330311191927,55
4,75,No,9,9,59.82213317922086,60
8,64,No,5,7,57.72685957011837,58
7,50,No,7,7,41.58617704639678,42
3,84,No,6,6,64.07167357598294,64
3,87,Yes,8,5,68.49438519814183,68
1,96,No,7,5,70.854782829366,71
4,75,Yes,9,7,60.02061708131202,60
4,42,Yes,7,0,24.069405232733473,24
2,48,No,7,1,24.059681978553193,24
4,47,No,6,0,28.07936161744251,28
6,77,Yes,8,9,67.6875314882038,68
7,43,Yes,9,2,35.03778032975925,35
5,81,Yes,5,3,66.2537942342546,66
5,43,No,7,9,29.13382940063952,29
8,83,No,9,5,78.6186998226089,79
9,43,No,4,4,38.12984115984204,38
8,48,Yes,4,0,40.162163046627846,40
4,51,Yes,9,0,34.204038119614616,34
7,94,No,9,1,86.16521949280386,86
4,47,Yes,8,9,31.42524372866894,31
4,59,Yes,8,2,42.25743665573034,42
9,78,Yes,6,7,75.92013283059441,76
5,74,Yes,6,5,60.00931106474558,60
1,88,Yes,4,5,61.84588229121088,62
8,96,Yes,5,9,91.29292352080301,91
4,98,Yes,9,6,83.23738675115041,83
2,95,No,4,2,70.64575333148647,71
9,46,Yes,4,2,41.38238938599644,41
5,70,No,4,4,54.17313103860612,54
4,57,Yes,9,4,41.10306069299339,41
7,53,No,6,8,44.35174489442738,44
3,78,Yes,6,9,59.150646236513005,59
5,98,Yes,8,7,85.80971253456903,86
3,76,Yes,9,8,58.37553974452826,58
5,48,No,9,3,34.01003563422456,34
8,59,No,4,9,52.54597936862675,53
9,96,No,6,8,93.84831139156961,94
2,67,Yes,7,2,44.1937437103174,44
7,92,No,9,1,84.12917661009502,84
6,66,Yes,6,3,54.33051483073539,54
4,47,No,8,6,30.2381424200124,30
7,96,Yes,7,2,88.02047680685163,88
8,71,No,9,6,66.60016600766903,67
5,48,Yes,7,7,34.422420509502736,34
6,69,No,9,7,59.040202087370766,59
7,40,Yes,4,8,30.738957106845895,31
1,44,No,8,6,18.601611317595378,19
8,74,Yes,5,6,68.30328136706672,68
8,53,No,7,5,47.105616667285126,47
4,69,No,4,0,49.50339341254814,50
1,43,No,9,0,16.883468945708223,17
1,46,Yes,5,5,19.57520171167129,20
9,52,Yes,7,6,49.74007183141236,50
9,43,Yes,6,8,40.487105864503086,40
9,82,No,6,5,79.00284076866862,79
2,75,No,6,0,50.86231745646352,51
3,47,No,9,2,27.07264619265454,27
6,71,No,7,9,60.499252018014325,60
2,81,No,7,2,57.85211302456185,58
7,65,No,8,0,55.95865425486712,56
5,81,Yes,5,1,65.85834727162845,66
3,86,Yes,6,9,67.29481776734829,67
9,57,Yes,8,7,55.514122476843205,56
3,97,No,7,9,78.38534271487524,78
5,83,Yes,7,0,68.66910658771562,69
8,96,No,9,5,91.85297856021626,92
6,40,Yes,6,2,27.664233874207603,28
5,87,Yes,9,5,74.70224967439009,75
4,67,No,7,3,49.51918084581569,50
6,44,Yes,5,6,32.04099360753184,32
4,40,Yes,6,6,22.733483280557394,23
4,97,Yes,8,0,80.54680446457184,81
2,92,No,4,1,67.39396552611015,67
9,92,Yes,7,3,89.8677590416496,90
7,94,No,5,5,85.01123358867329,85
7,65,Yes,7,0,56.06636516223873,56
8,46,No,9,5,40.95190649249566,41
8,94,Yes,6,4,88.7544831888745,89
4,91,No,9,7,75.71502927826529,76
7,65,No,5,8,56.081782233334586,56
4,53,Yes,5,4,35.08609509819288,35
7,47,No,8,5,38.6228857170531,39
1,67,No,4,6,40.071224639364,40
1,96,No,8,7,71.73644974933785,72
6,58,Yes,4,8,46.202520791774056,46
3,71,Yes,4,5,50.26116230708839,50
2,62,Yes,9,4,40.471523380862926,40
1,56,No,6,2,29.054534773904585,29
3,77,No,5,4,56.0638565665302,56
4,61,Yes,7,5,44.40043002503268,44
7,87,No,7,8,79.4506938578231,79
8,90,Yes,7,2,84.77317041817645,85
1,52,Yes,7,0,25.66715286792381,26
9,91,Yes,7,1,88.45429063766903,88
6,62,Yes,9,2,51.519365456041804,52
7,51,Yes,5,0,40.841625068585536,41
2,57,No,6,2,32.93337847471026,33
6,97,No,9,3,86.75390852004199,87
2,53,No,5,2,28.375072751946895,28
6,97,Yes,9,7,88.13873331001162,88
9,77,No,9,0,74.38277602736832,74
9,97,Yes,4,0,92.90603593244529,93
7,96,Yes,9,1,88.79519324022999,89
8,91,Yes,7,2,85.79119185953084,86
7,71,No,9,4,63.34389678559162,63
9,96,No,6,9,94.0460348728827,94
4,73,Yes,4,3,54.76258048662233,55
6,53,No,9,2,41.763241619134796,42
2,83,Yes,4,1,58.825703418637765,59
8,56,No,9,3,50.73667394341363,51
5,54,Yes,9,9,41.89843603494679,42
2,71,Yes,8,8,49.93839032095922,50
4,52,Yes,5,1,33.47490321289924,33
1,60,Yes,7,8,35.393112249263716,35
2,79,Yes,7,9,57.79406537576188,58
9,96,Yes,8,9,95.61240565229141,96
9,55,No,7,7,52.397928772071346,52
7,70,Yes,9,6,63.31525317158067,63
6,75,Yes,4,1,62.124820925607516,62
6,99,Yes,6,4,88.12294587674404,88
7,84,No,7,0,74.81484168325525,75
3,51,Yes,7,6,31.557116833350385,32
2,95,Yes,9,7,74.65940138949773,75
4,43,No,7,1,24.691219290683648,25
9,67,Yes,7,1,64.02177604516314,64
4,81,No,7,5,64.1669279874036,64
3,49,No,9,5,29.701859519302594,30
2,80,Yes,7,2,57.428022447924754,57
9,88,No,5,6,84.82247294076245,85
3,41,No,6,5,20.099028116430162,20
3,67,No,4,3,45.199698714327276,45
1,92,Yes,4,6,66.11569153794161,66
4,50,No,5,6,31.83354687203849,32
6,98,No,8,2,87.08798652273762,87
7,41,Yes,6,8,32.729418462891736,33
4,80,Yes,9,8,65.30844776939716,65
7,73,Yes,4,2,63.14732378366303,63
5,92,Yes,4,6,77.55898057574666,78
7,61,No,5,0,50.42790861741235,50
5,62,Yes,6,1,47.00215984324033,47
6,58,Yes,8,1,46.76333625196538,47
5,87,Yes,6,3,72.84814283972679,73
5,71,Yes,4,5,55.98280682599091,56
4,86,No,7,3,68.86158823154952,69
5,78,Yes,7,4,64.36989330619585,64
4,96,Yes,8,0,79.52878302321741,80
7,74,Yes,5,2,64.65156518236316,65
6,53,No,5,6,40.609255715004245,41
9,78,No,7,4,75.2192514792836,75
5,87,Yes,6,7,73.6390367649791,74
8,98,Yes,5,9,93.32896640351183,93
1,48,Yes,7,3,22.188237546445386,22
8,56,No,4,5,48.701021119311214,49
7,56,No,8,4,47.587355207929726,48
8,98,No,4,9,92.24881558144881,92
4,77,Yes,9,7,62.056659964020845,62
7,85,No,8,8,77.90087093245998,78
3,69,No,4,2,47.03801811572303,47
5,66,Yes,4,7,51.28814658184502,51
2,55,Yes,6,5,32.084436900657984,32
1,62,Yes,7,3,36.44053772540716,36
9,61,No,4,8,57.24512102947376,57
2,66,No,4,3,41.320855013521616,41
5,41,No,4,8,25.441403164580485,25
2,65,No,7,2,41.563769962891264,42
6,67,Yes,5,2,54.66459283343101,55
5,58,Yes,7,2,43.614017516481475,44
2,59,No,7,5,36.048811758704026,36
7,69,No,5,3,59.16525059218686,59
4,42,No,6,0,22.989254410670455,23
4,85,No,5,3,66.87112687550368,67
1,78,No,8,0,52.02799943576692,52
9,67,Yes,7,4,64.61494648910238,65
2,90,No,6,0,66.1326390767797,66
5,96,No,7,7,82.6935188297972,83
6,59,Yes,7,9,48.876925586478684,49
5,73,Yes,7,5,59.477509580736886,59
4,97,No,7,7,80.85071801170034,81
8,73,No,4,1,65.21649169708391,65
7,92,No,6,4,83.26368718199711,83
8,59,No,9,0,53.19756782353763,53
5,94,Yes,8,9,82.13307373177753,82
7,58,No,8,6,50.018845053264705,50
2,84,Yes,8,0,61.590881208061965,62
6,43,Yes,6,8,31.90463908614931,32
2,94,Yes,5,2,70.70788271219507,71
8,86,Yes,8,8,82.37364549798295,82
3,72,No,6,5,51.657692798416925,52
5,41,Yes,9,6,28.070986853400207,28
4,81,No,7,9,64.9578219126559,65
4,64,Yes,9,8,49.02010470772657,49
6,54,Yes,8,7,43.87759137442618,44
3,63,No,6,1,41.70460590097492,42
6,70,No,7,7,59.08578361403375,59
7,45,Yes,7,2,36.10138329777664,36
4,57,Yes,7,2,39.7351738156758,40
4,90,Yes,9,8,75.48866218294128,75
7,55,Yes,7,1,46.08387423000769,46
4,66,No,8,0,48.394208917867765,48
8,85,No,6,9,79.98697675853288,80
2,49,No,4,8,25.003107917061996,25
5,62,No,6,9,47.99001682902763,48
4,52,No,4,1,32.39475239083621,32
2,61,Yes,9,9,40.44211934607389,40
9,62,Yes,7,5,59.7225627636434,60
1,74,No,4,1,46.2087573222795,46
1,42,Yes,9,7,17.84344273826266,18
6,41,Yes,6,0,28.28680835293587,28
